🔬 2025-09-09 02:01:33,940 | DEBUG | Using proactor: IocpProactor
🔬 2025-09-09 02:01:33,941 | INFO | 🔌 Checking embedding server availability...
🔬 2025-09-09 02:01:33,942 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:35,970 | DEBUG | http://localhost:8090 "GET /health HTTP/1.1" 200 123
🔬 2025-09-09 02:01:35,970 | INFO | 🚨 STARTING FORENSIC INVESTIGATION x200000%
🔬 2025-09-09 02:01:35,970 | INFO | ================================================================================
🔬 2025-09-09 02:01:35,970 | INFO | 🎯 MISSION: Detect and expose deception in AI Memory Service
🔬 2025-09-09 02:01:35,970 | INFO | 🔬 APPROACH: Multi-layer validation with cross-verification
🔬 2025-09-09 02:01:35,970 | INFO | ⚡ PRECISION: Maximum possible - leaving no stone unturned
🔬 2025-09-09 02:01:35,970 | INFO | ================================================================================
🔬 2025-09-09 02:01:35,970 | INFO | 📍 PHASE 1: Embedding Service Deception Detection
🔬 2025-09-09 02:01:35,970 | INFO | 🔍 Testing embedding service authenticity...
🔬 2025-09-09 02:01:35,970 | INFO | 🧪 Testing query 1: 'machine learning algorithms neural networks'
🔬 2025-09-09 02:01:35,971 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:38,049 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17062
🔬 2025-09-09 02:01:38,050 | DEBUG | ✅ Got embedding vector of dimension 768
🔬 2025-09-09 02:01:38,050 | INFO | 🧪 Testing query 2: 'machine learning algorithms neural networks'
🔬 2025-09-09 02:01:38,050 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:40,080 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17062
🔬 2025-09-09 02:01:40,081 | DEBUG | ✅ Got embedding vector of dimension 768
🔬 2025-09-09 02:01:40,081 | INFO | 🧪 Testing query 3: 'completely different topic about cooking recipes'
🔬 2025-09-09 02:01:40,081 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:42,167 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17054
🔬 2025-09-09 02:01:42,168 | DEBUG | ✅ Got embedding vector of dimension 768
🔬 2025-09-09 02:01:42,168 | INFO | 🧪 Testing query 4: 'random nonsense xyz123abc456def789'
🔬 2025-09-09 02:01:42,168 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:44,270 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17011
🔬 2025-09-09 02:01:44,270 | DEBUG | ✅ Got embedding vector of dimension 768
🔬 2025-09-09 02:01:44,270 | INFO | 🧪 Testing query 5: 'еще один запрос на русском языке'
🔬 2025-09-09 02:01:44,271 | DEBUG | Starting new HTTP connection (1): localhost:8090
🔬 2025-09-09 02:01:46,378 | DEBUG | http://localhost:8090 "POST /embed HTTP/1.1" 200 17010
🔬 2025-09-09 02:01:46,378 | DEBUG | ✅ Got embedding vector of dimension 768
🔬 2025-09-09 02:01:46,378 | INFO | 🧪 Testing query 6: ''
